"","Object.ID","X.Gene.products..complexes..polypeptides..and.RNAs..","Accession.1","Accession.2"
"1","EG11079","RIBF-MONOMER","b0025","ECK0026"
"2","EG11081","CPLX0-7564","b0029","ECK0030"
"3","EG10326","DIHYDROFOLATEREDUCT-MONOMER","b0048","ECK0049"
"4","EG10621","UDP-NACMURALGLDAPLIG-MONOMER","b0085","ECK0086"
"5","EG10622","UDP-NACMURALGLDAPAALIG-MONOMER","b0086","ECK0087"
"6","EG10620","UDP-NACMURALA-GLU-LIG-MONOMER","b0088","ECK0089"
"7","EG10623","NACGLCTRANS-MONOMER","b0090","ECK0091"
"8","EG10619","CPLX0-8014","b0091","ECK0092"
"9","EG10339","EG10339-MONOMER","b0094","ECK0095"
"10","EG10347","EG10347-MONOMER","b0095","ECK0096"
"11","EG10265","UDPACYLGLCNACDEACETYL-MONOMER","b0096","ECK0097"
"12","EG12319","CPLX0-7521","b0126","ECK0125"
"13","EG12332","CPLX0-7617","b0156","ECK0155"
"14","EG10570","EG10570-MONOMER","b0168","ECK0166"
"15","EG11033","EG11033-MONOMER","b0170","ECK0169"
"16","EG11539","UMPKI-CPLX","b0171","ECK0170"
"17","EG10335","EG10335-MONOMER","b0172","ECK0171"
"18","G6092","UPPSYN-CPLX","b0174","ECK0173"
"19","EG10545","UDPNACETYLGLUCOSAMACYLTRANS-CPLX","b0181","ECK0180"
"20","EG10546","CPLX0-7415","b0182","ECK0181"
"21","EG10238","CPLX0-3803","b0184","ECK0183"
"22","EG11321","CPLX0-7659","b0414","ECK0408"
"23","EG11322","LUMAZINESYN-CPLX","b0415","ECK0409"
"24","EG10508","FPPSYN-MONOMER","b0421","ECK0415"
"25","EG10245","MONOMER0-2383","b0470","ECK0464"
"26","EG10032","ADENYL-KIN-MONOMER","b0474","ECK0468"
"27","EG12666","EG12666-MONOMER","b0524","ECK0517"
"28","EG10196","CYSS-MONOMER","b0526","ECK0519"
"29","EG11412","CPLX0-3803","b0640","ECK0633"
"30","EG10318","OX-FLAVODOXIN1","b0684","ECK0672"
"31","EG10173","CYT-D-UBIOX-CPLX","b0733","ECK0721"
"32","EG10504","EG10504-MONOMER","b0884","ECK0875"
"33","EG10012","ABC-6-CPLX","b0886","ECK0877"
"34","G6464","G6464-MONOMER","b0890","ECK0881"
"35","G6465","G6465-MONOMER","b0891","ECK0882"
"36","EG10947","SERS-CPLX","b0893","ECK0884"
"37","EG10519","CPM-KDOSYNTH-MONOMER","b0918","ECK0909"
"38","EG11252","CPLX0-2561","b0923","ECK0914"
"39","EG10618","CPLX0-2561","b0924","ECK0915"
"40","EG10859","CPLX0-2381","b1084","ECK1069"
"41","EG50003","CIS-DELTA5-DODECENOYL-ACP","b1094","ECK1080"
"42","EG11500","CPLX0-3803","b1099","ECK1085"
"43","EG11314","CPLX0-7959","b1131","ECK1117"
"44","EG11294","CPLX0-3841","b1208","ECK1196"
"45","EG11293","EG11293-MONOMER","b1209","ECK1197"
"46","EG10761","EG10761-MONOMER","b1211","ECK1199"
"47","EG10518","KDO-8PSYNTH-CPLX","b1215","ECK1203"
"48","EG11013","EG11013-MONOMER","b1274","ECK1268"
"49","EG11528","CPLX0-8006","b1288","ECK1283"
"50","EG11043","TYRS-CPLX","b1637","ECK1633"
"51","EG10710","PHES-CPLX","b1713","ECK1711"
"52","EG10709","PHES-CPLX","b1714","ECK1712"
"53","EG10506","EG10506-MONOMER","b1718","ECK1716"
"54","EG10663","NAD-SYNTH-CPLX","b1740","ECK1738"
"55","EG10367","GAPDH-A-CPLX","b1779","ECK1777"
"56","EG10097","ASPS-CPLX","b1866","ECK1867"
"57","EG12844","CPLX0-7929  CPLX0-3781","b2017","ECK2012"
"58","EG10444","PRIBFAICARPISOM-MONOMER","b2024","ECK2019"
"59","EG12049","EG12049-MONOMER","b2188","ECK2182"
"60","EG10327","FOLC-MONOMER","b2315","ECK2309"
"61","EG10217","ACETYL-COA-CARBOXYLMULTI-CPLX","b2316","ECK2310"
"62","EG10407","GLURS-MONOMER","b2400","ECK2394"
"63","EG10534","EG10534-MONOMER","b2411","ECK2406"
"64","G7319","G7319-MONOMER","b2511","ECK2507"
"65","EG10370","EG10370-MONOMER","b2515","ECK2511"
"66","EG10247","HOLO-ACP-SYNTH-CPLX","b2563","ECK2561"
"67","EG10270","EG10270-MONOMER","b2566","ECK2564"
"68","EG10857","CPLX0-3281","b2567","ECK2565"
"69","EG12192","CPLX0-682","b2615","ECK2611"
"70","EG11816","CPLX0-721","b2746","ECK2741"
"71","EG10258","CPLX0-2381","b2779","ECK2773"
"72","EG10282","FRUCBISALD-CLASSII","b2925","ECK2921"
"73","EG10703","PGK","b2926","ECK2922"
"74","EG10589","S-ADENMETSYN-CPLX","b2942","ECK2937"
"75","G7525","G7525-MONOMER","b2949","ECK2944"
"76","EG11377","1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER","b3018","ECK3009"
"77","G7571","CPLX0-7822","b3021","ECK3012"
"78","EG10687","CPLX0-2424","b3030","ECK3021"
