corrected ECK ID	Name for Strain Page	Gene name at EcoCyc	Allele at CGSC	Strain bkgd	Category Tag	Reference for Strain
ECK0002	JW0001	thrA	thrA722(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0003	JW0002	thrB	thrB723(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0004	JW0003	thrC	thrC724(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0005	JW0004	yaaX	yaaX725(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0006	JW0005	yaaA	yaaA726(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0007	JW0006	yaaJ	yaaJ727(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0008	JW0007	talB	talB728(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0009	JW0008	mog	mog-729(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0011	JW0010	yaaW	yaaW(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0012	JW5001	mbiA	htgA732(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0013	JW0012	yaaI	yaaI733(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0014	JW0013	dnaK	dnaK734(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0015	JW0014	dnaJ	dnaJ735(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0017	JW5002	hokC	hokC(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0020	JW0018	nhaA	nhaA737(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
ECK0021	JW0019	nhaR	nhaR738(del)::FRT-kan-FRT	parent: [[OMP ST:800 ! Escherichia coli K-12 BW25113]]	[[Category:Keio Knockouts For E. coli K-12]]	PMID:16738554
