OMP_ST:70929_!_Escherichia coli K-12 JW0001
OMP_ST:70930_!_Escherichia coli K-12 JW0002
OMP_ST:70931_!_Escherichia coli K-12 JW0003
OMP_ST:70932_!_Escherichia coli K-12 BW25113 dnaX::SPA-kan
OMP_ST:70933_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70934_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70935_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70936_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70937_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70938_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70943_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70944_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70945_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70946_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70947_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70948_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70949_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70950_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70951_!_Escherichia coli K-12 BW25113 ispH::SPA-kan
OMP_ST:70952_!_Escherichia coli K-12 BW25113 ispH::SPA-kan
OMP_ST:70953_!_Escherichia coli K-12 BW25113 folA::SPA-kan
OMP_ST:70954_!_Escherichia coli K-12 BW25113 lptD::DAS+4-kan
OMP_ST:70955_!_Escherichia coli K-12 BW25113 lptD::DAS-kan
OMP_ST:70956_!_Escherichia coli K-12 BW25113 lptD(imp4213)-kan
OMP_ST:70957_!_Escherichia coli K-12 BW25113 lptD+-kan
OMP_ST:70958_!_Escherichia coli K-12 BW25113 murE+-kan
OMP_ST:70959_!_Escherichia coli K-12 BW25113 murE-kan
OMP_ST:70960_!_Escherichia coli K-12 BW25113 murE::SPA-kan
OMP_ST:70961_!_Escherichia coli K-12 BW25113 murF::SPA-kan
OMP_ST:70962_!_Escherichia coli K-12 BW25113 murD::SPA-kan
OMP_ST:70963_!_Escherichia coli K-12 BW25113 murG::SPA-kan
OMP_ST:70964_!_Escherichia coli K-12 BW25113 murC::SPA-kan
OMP_ST:70965_!_Escherichia coli K-12 BW25113 ftsA::SPA
OMP_ST:70966_!_Escherichia coli K-12 BW25113 ftsA(R286W)-kan
OMP_ST:70967_!_Escherichia coli K-12 BW25113 ftsA+-kan
OMP_ST:70969_!_Escherichia coli K-12 BW25113 lpxC::SPA
OMP_ST:70970_!_Escherichia coli K-12 BW25113 lpxC(G210S)-kan
OMP_ST:70971_!_Escherichia coli K-12 BW25113 lpxC+-kan
OMP_ST:70973_!_Escherichia coli K-12 BW25113 ispH::SPA-kan
OMP_ST:70974_!_Escherichia coli K-12 BW25113 ispH::SPA-kan
OMP_ST:70975_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
OMP_ST:70976_!_Escherichia coli K-12 JW0001
OMP_ST:70977_!_Escherichia coli K-12 GSO183
OMP_ST:70978_!_Escherichia coli K-12 JW0001
OMP_ST:70979_!_Escherichia coli K-12 BW25113 ribF::SPA-kan
