strain1 strain2 Pearson.Correlation.Coefficient.x pcc_TF
3562 3671 0.933595653562699 0
1653 1767 0.933392884903507 0
1377 1649 0.933345209281893 0
2234 3002 0.933296908818257 0
859 1593 0.933100950130701 0
1381 3002 0.933096507794663 0
1377 3061 0.933067986623189 0
1286 1561 0.932906174243229 0
1561 1856 0.932635284392542 0
1314 3107 0.932324983313304 0
2214 2618 0.932218036641558 1
1767 3002 0.932142571490231 0
1314 1461 0.932018715571135 0
1774 1856 0.931953714641733 1
1322 1461 0.931938332508536 0
1314 3002 0.93191731725031 0
1377 1767 0.931260621737288 0
1593 1774 0.931096458636796 0
1377 3107 0.930937662486274 0
1314 1322 0.930896178674063 0
1417 3107 0.930545881219272 1
859 1767 0.93047383005597 1
1767 3562 0.930471419697018 0
1286 1767 0.930386874628808 0
859 1774 0.930355334426369 0
1377 1593 0.930176720449075 0
1417 3562 0.929976284652463 0
1593 3562 0.929848359538566 1
1767 1848 0.929573702662607 0
1286 1653 0.929522221118042 1
1381 1767 0.929362199502757 0
1593 1856 0.929167447499379 0
1322 3562 0.928455599951648 0
1322 1417 0.928284023327074 1
1593 1767 0.927976628176494 0
1286 1649 0.927805326771908 0
1649 1767 0.927801006243636 0
1767 1856 0.927797730427972 0
1286 1593 0.927797698665052 0
1314 3061 0.927771318440402 0
2147 3002 0.927347377592821 0
1461 3061 0.92723022806684 0
2214 2342 0.926654887774499 1
1314 1653 0.926158492350788 0
859 3562 0.925989094735972 0
2342 2618 0.924716995030438 1
1314 1381 0.924698436063004 0
1286 3562 0.924692918731555 0
1355 1450 0.924606412963599 1
2147 3107 0.924407080561541 0
3002 3671 0.924324472982473 0
1314 1856 0.924234441421146 0
1286 1314 0.924000906253156 0
1649 1653 0.923822692080556 0
1593 1653 0.923634402445859 0
1653 3562 0.923418968247136 0
859 1685 0.923204792588444 0
859 3002 0.922869666486366 0
1286 1377 0.92274700095965 0
1461 1593 0.922367186387631 0
1314 1649 0.922229436719316 0
1561 1593 0.922224850709404 1
1377 1774 0.922172854196424 1
1203 1767 0.922108834940445 0
1203 1653 0.922069188734304 0
2147 3061 0.922061627587475 0
1856 3562 0.922039222403112 0
1461 3562 0.921878491367283 0
1561 1774 0.921794953403973 0
2234 3061 0.921681273488318 0
1417 1461 0.921439339717601 0
1377 1417 0.92133904503181 0
1685 3562 0.921307288812785 1
1461 3107 0.921259476050199 0
1417 3002 0.921198785865262 0
