strain1 strain1_gene_names strain2 strain2_gene_names Pearson.Correlation.Coefficient.x pcc_TF
3562 leuB 3671 carA 0.933595653562699 0
1653 proC 1767 argA 0.933392884903507 0
1377 thrB 1649 leuC 0.933345209281893 0
2234 hisA 3002 ilvD 0.933296908818257 0
859 argG 1593 ilvE 0.933100950130701 0
1381 proA 3002 ilvD 0.933096507794663 0
1377 thrB 3061 ilvC 0.933067986623189 0
1286 proB 1561 leuD 0.932906174243229 0
1561 leuD 1856 lysA 0.932635284392542 0
1314 serA 3107 argB 0.932324983313304 0
2214 purE 2618 purL 0.932218036641558 1
1767 argA 3002 ilvD 0.932142571490231 0
1314 serA 1461 metF 0.932018715571135 0
1774 metE 1856 lysA 0.931953714641733 1
1322 argE 1461 metF 0.931938332508536 0
1314 serA 3002 ilvD 0.93191731725031 0
1377 thrB 1767 argA 0.931260621737288 0
1593 ilvE 1774 metE 0.931096458636796 0
1377 thrB 3107 argB 0.930937662486274 0
1314 serA 1322 argE 0.930896178674063 0
1417 argH 3107 argB 0.930545881219272 1
859 argG 1767 argA 0.93047383005597 1
1767 argA 3562 leuB 0.930471419697018 0
1286 proB 1767 argA 0.930386874628808 0
859 argG 1774 metE 0.930355334426369 0
1377 thrB 1593 ilvE 0.930176720449075 0
1417 argH 3562 leuB 0.929976284652463 0
1593 ilvE 3562 leuB 0.929848359538566 1
1767 argA 1848 hisI 0.929573702662607 0
1286 proB 1653 proC 0.929522221118042 1
1381 proA 1767 argA 0.929362199502757 0
1593 ilvE 1856 lysA 0.929167447499379 0
1322 argE 3562 leuB 0.928455599951648 0
1322 argE 1417 argH 0.928284023327074 1
1593 ilvE 1767 argA 0.927976628176494 0
1286 proB 1649 leuC 0.927805326771908 0
1649 leuC 1767 argA 0.927801006243636 0
1767 argA 1856 lysA 0.927797730427972 0
1286 proB 1593 ilvE 0.927797698665052 0
1314 serA 3061 ilvC 0.927771318440402 0
2147 hisB 3002 ilvD 0.927347377592821 0
1461 metF 3061 ilvC 0.92723022806684 0
2214 purE 2342 purM 0.926654887774499 1
1314 serA 1653 proC 0.926158492350788 0
859 argG 3562 leuB 0.925989094735972 0
2342 purM 2618 purL 0.924716995030438 1
1314 serA 1381 proA 0.924698436063004 0
1286 proB 3562 leuB 0.924692918731555 0
1355 ruvA 1450 ruvC 0.924606412963599 1
2147 hisB 3107 argB 0.924407080561541 0
3002 ilvD 3671 carA 0.924324472982473 0
1314 serA 1856 lysA 0.924234441421146 0
1286 proB 1314 serA 0.924000906253156 0
1649 leuC 1653 proC 0.923822692080556 0
1593 ilvE 1653 proC 0.923634402445859 0
1653 proC 3562 leuB 0.923418968247136 0
859 argG 1685 ilvA 0.923204792588444 0
859 argG 3002 ilvD 0.922869666486366 0
1286 proB 1377 thrB 0.92274700095965 0
1461 metF 1593 ilvE 0.922367186387631 0
1314 serA 1649 leuC 0.922229436719316 0
1561 leuD 1593 ilvE 0.922224850709404 1
1377 thrB 1774 metE 0.922172854196424 1
1203 trpB 1767 argA 0.922108834940445 0
1203 trpB 1653 proC 0.922069188734304 0
2147 hisB 3061 ilvC 0.922061627587475 0
1856 lysA 3562 leuB 0.922039222403112 0
1461 metF 3562 leuB 0.921878491367283 0
1561 leuD 1774 metE 0.921794953403973 0
2234 hisA 3061 ilvC 0.921681273488318 0
1417 argH 1461 metF 0.921439339717601 0
1377 thrB 1417 argH 0.92133904503181 0
1685 ilvA 3562 leuB 0.921307288812785 1
1461 metF 3107 argB 0.921259476050199 0
1417 argH 3002 ilvD 0.921198785865262 0
1461 metF 1685 ilvA 0.921196747040027 0
1286 proB 1848 hisI 0.920913136966586 0
1377 thrB 1381 proA 0.920526509421061 0
1286 proB 1685 ilvA 0.920442192687688 0
1461 metF 1774 metE 0.920276958759079 0
1848 hisI 3002 ilvD 0.920197340445089 0
1561 leuD 1653 proC 0.920130386735693 0
1653 proC 1848 hisI 0.920032083423004 0
1377 thrB 1848 hisI 0.919886198812169 0
1381 proA 1593 ilvE 0.919819096864203 0
1381 proA 1685 ilvA 0.919748478264511 0
1739 leuA 1856 lysA 0.919328941617421 0
1203 trpB 3562 leuB 0.919327001440388 0
1593 ilvE 3002 ilvD 0.919286201729015 1
1377 thrB 1461 metF 0.919092159820141 0
1286 proB 1774 metE 0.919018414801709 0
3061 ilvC 3562 leuB 0.918777163620035 1
1417 argH 3061 ilvC 0.91865664784646 0
1377 thrB 1685 ilvA 0.918094875086003 0
1653 proC 1774 metE 0.918017119430125 0
1286 proB 1322 argE 0.917656691630288 0
1417 argH 1593 ilvE 0.91743936974758 0
1685 ilvA 1856 lysA 0.917062721759592 0
1856 lysA 2886 thrC 0.91698591721182 1
1653 proC 1685 ilvA 0.91683175945323 0
1377 thrB 1653 proC 0.916654889006656 0
1561 leuD 1767 argA 0.916641228517459 0
859 argG 1377 thrB 0.916522437376376 0
1653 proC 2886 thrC 0.916480620102191 0
1848 hisI 3562 leuB 0.916064055937976 0
1649 leuC 1856 lysA 0.91600331755029 0
1381 proA 3562 leuB 0.915911663112412 0
1417 argH 1774 metE 0.915641874801659 0
1461 metF 3002 ilvD 0.915620626186169 0
1286 proB 3002 ilvD 0.915510099845332 0
1593 ilvE 1649 leuC 0.91543645298605 1
1774 metE 3061 ilvC 0.91540526181603 0
1848 hisI 1856 lysA 0.915251752381382 0
859 argG 1417 argH 0.915144949938314 1
1203 trpB 1286 proB 0.915050775168845 0
1314 serA 2886 thrC 0.915028953282252 0
2234 hisA 3107 argB 0.914818349966724 0
1314 serA 1848 hisI 0.914795781736682 0
1984 pyrE 2618 purL 0.914753168874315 1
859 argG 3107 argB 0.914600517297139 1
1381 proA 3671 carA 0.91455048200671 0
1203 trpB 1848 hisI 0.914360977183234 0
1685 ilvA 1767 argA 0.914158439385944 0
1203 trpB 3002 ilvD 0.913951831072984 0
1322 argE 3107 argB 0.913788754289573 1
1561 leuD 1848 hisI 0.913395939669776 0
1759 hisF 1848 hisI 0.913336010870985 1
456 argC 3562 leuB 0.913302762329087 0
1653 proC 3107 argB 0.91327302775517 0
1649 leuC 3562 leuB 0.913183132446213 1
1593 ilvE 3107 argB 0.913077570647265 0
1561 leuD 3002 ilvD 0.913039135215414 1
1381 proA 1417 argH 0.912640051368489 0
1759 hisF 2234 hisA 0.912471696903733 1
456 argC 1774 metE 0.912341950816161 0
259 cyoD 328 cyoC 0.912309055276858 1
1203 trpB 1856 lysA 0.912090349963253 0
1593 ilvE 1848 hisI 0.911873664890287 0
1593 ilvE 3061 ilvC 0.911873394440204 1
1377 thrB 3671 carA 0.91186286028609 0
1322 argE 1774 metE 0.911816148981997 0
1203 trpB 1649 leuC 0.911740920564047 0
1286 proB 1739 leuA 0.911694690730559 0
1585 tyrA 1767 argA 0.9116777075937 0
1759 hisF 3002 ilvD 0.911634990190286 0
456 argC 1203 trpB 0.911578448452051 0
1417 argH 2234 hisA 0.91140820711304 0
1759 hisF 2147 hisB 0.911370144905936 1
859 argG 3061 ilvC 0.911330601658755 0
456 argC 1593 ilvE 0.910825929440268 0
1322 argE 1685 ilvA 0.910760199765735 0
1774 metE 3002 ilvD 0.910691807176418 0
1381 proA 1649 leuC 0.910628108073905 0
1417 argH 2147 hisB 0.910256727388303 0
456 argC 1856 lysA 0.910122579596386 0
1653 proC 3002 ilvD 0.910093220027098 0
1203 trpB 1593 ilvE 0.909822039960782 1
1417 argH 1685 ilvA 0.909698710241976 0
1314 serA 3671 carA 0.909696673098484 0
859 argG 1381 proA 0.909695066867927 0
1314 serA 1561 leuD 0.909577197375867 0
1767 argA 3107 argB 0.909323962799437 1
456 argC 859 argG 0.909239795295584 1
1488 hisG 1669 hisC 0.90891289041777 1
1685 ilvA 3107 argB 0.908857253106073 0
859 argG 1653 proC 0.908790093400726 0
1322 argE 1377 thrB 0.90869760371188 0
311 metR 859 argG 0.908589557329215 0
1286 proB 3107 argB 0.908471848785324 0
2170 purD 2217 pyrD 0.908401286482402 1
1739 leuA 1774 metE 0.908326388472379 0
1561 leuD 1649 leuC 0.907627256918112 1
1767 argA 1774 metE 0.907381189862305 0
456 argC 1649 leuC 0.907071789465253 0
1314 serA 2234 hisA 0.907062662138966 0
1377 thrB 1561 leuD 0.907022024188261 0
1377 thrB 1759 hisF 0.907009861045568 0
1848 hisI 2147 hisB 0.906886169507784 1
1569 yheL 1658 yheM 0.906767108865729 1
