,Annotation,accuracy,precision,sensitivity,specificity
62,LIPA-CORESYN-PWY,0.995979899497,0.25,0.5,0.996978851964
27,PWY0-1348,0.992964824121,0.2,0.25,0.995963673058
16,PWY0-1352,0.986934673367,0.1,0.2,0.990909090909
23,PWY0-1335,0.986934673367,0.0909090909091,0.25,0.989909182644
1,PRPP-PWY,0.978894472362,0.0909090909091,0.0833333333333,0.98982706002
0,ALL-CHORISMATE-PWY,0.979899497487,0.0,0.0,0.991861648016
2,GLYCOLYSIS-TCA-GLYOX-BYPASS,0.975879396985,0.0,0.0,0.98578680203
3,FERMENTATION-PWY,0.984924623116,0.0,0.0,0.992907801418
4,DENOVOPURINE2-PWY,0.984924623116,0.0,0.0,0.991902834008
5,HEXITOLDEGSUPER-PWY,0.98391959799,0.0,0.0,0.990890688259
6,LPSSYN-PWY,0.976884422111,0.0,0.0,0.983805668016
7,ARG+POLYAMINE-SYN,0.984924623116,0.0,0.0,0.990899898888
8,GLYCOLYSIS-E-D,0.98391959799,0.0,0.0,0.989888776542
9,THREOCAT-PWY,0.979899497487,0.0,0.0,0.985844287159
10,PWY0-781,0.986934673367,0.0,0.0,0.991919191919
11,TCA-GLYOX-BYPASS,0.989949748744,0.0,0.0,0.994949494949
12,COMPLETE-ARO-PWY,0.986934673367,0.0,0.0,0.991919191919
13,GLYCOLYSIS,0.98391959799,0.0,0.0,0.988888888889
14,KDO-NAGLIPASYN-PWY,0.987939698492,0.0,0.0,0.992929292929
15,PWY-5484,0.989949748744,0.0,0.0,0.994949494949
17,GLUCONEO-PWY,0.990954773869,0.0,0.0,0.994954591322
18,PWY-6126,0.985929648241,0.0,0.0,0.989909182644
19,TCA,0.990954773869,0.0,0.0,0.994954591322
20,BRANCHED-CHAIN-AA-SYN-PWY,0.992964824121,0.0,0.0,0.996972754793
21,P4-PWY,0.987939698492,0.0,0.0,0.991927346115
22,PWY-7211,0.985929648241,0.0,0.0,0.989909182644
24,PWY0-1336,0.982914572864,0.0,0.0,0.986881937437
25,PWY0-1586,0.991959798995,0.0,0.0,0.995963673058
26,PWY0-1334,0.990954773869,0.0,0.0,0.994954591322
28,SULFATE-CYS-PWY,0.987939698492,0.0,0.0,0.991927346115
29,ORNARGDEG-PWY,0.987939698492,0.0,0.0,0.991927346115
30,PWY0-1347,0.990954773869,0.0,0.0,0.994954591322
31,METHGLYUT-PWY,0.992964824121,0.0,0.0,0.995967741935
32,ARGDEG-PWY,0.993969849246,0.0,0.0,0.996975806452
33,ARGSYN-PWY,0.994974874372,0.0,0.0,0.997983870968
34,BIOTIN-BIOSYNTHESIS-PWY,0.991959798995,0.0,0.0,0.994959677419
35,PEPTIDOGLYCANSYN-PWY,0.990954773869,0.0,0.0,0.993951612903
36,PWY-6071,0.993969849246,0.0,0.0,0.996975806452
37,PWY0-1277,0.992964824121,0.0,0.0,0.995967741935
38,PWY0-1321,0.992964824121,0.0,0.0,0.995967741935
39,PWY0-166,0.98391959799,0.0,0.0,0.98689516129
40,SALVADEHYPOX-PWY,0.993969849246,0.0,0.0,0.996975806452
41,TRNA-CHARGING-PWY,0.994974874372,0.0,0.0,0.997983870968
42,GLYCOL-GLYOXDEG-PWY,0.994974874372,0.0,0.0,0.997983870968
43,PWY-6387,0.991959798995,0.0,0.0,0.994959677419
44,PWY-6608,0.989949748744,0.0,0.0,0.992943548387
45,PWY-7805,0.993969849246,0.0,0.0,0.996975806452
46,THISYN-PWY,0.990954773869,0.0,0.0,0.993951612903
