,Annotation,accuracy,precision,sensitivity,specificity
31,ABC-4-CPLX,1.0,1.0,1.0,1.0
0,CPLX0-7452,0.972864321608,0.0,0.0,0.97975708502
1,CPLX0-3382,0.985929648241,0.0,0.0,0.988911290323
2,NADH-DHI-CPLX,0.991959798995,0.0,0.0,0.994959677419
3,CPLX0-3964,0.986934673367,0.0,0.0,0.989919354839
4,CPLX0-3933,0.992964824121,0.0,0.0,0.995967741935
5,CPLX0-250,0.994974874372,0.0,0.0,0.996978851964
6,ATPSYN-CPLX,0.996984924623,0.0,0.0,0.998992950655
7,CPLX0-3803,0.996984924623,0.0,0.0,0.998992950655
8,FHLMULTI-CPLX,0.992964824121,0.0,0.0,0.994964753273
10,ABC-15-CPLX,0.997989949749,0.0,0.0,0.998993963783
11,ABC-20-CPLX,0.995979899497,0.0,0.0,0.996981891348
13,ABC-304-CPLX,0.997989949749,0.0,0.0,0.998993963783
14,ABC-59-CPLX,0.997989949749,0.0,0.0,0.998993963783
15,CPLX0-2201,0.994974874372,0.0,0.0,0.995975855131
16,CPLX0-2381,0.993969849246,0.0,0.0,0.994969818913
17,CPLX0-3970,0.997989949749,0.0,0.0,0.998993963783
18,CPLX0-7725,0.995979899497,0.0,0.0,0.996981891348
19,CPLX0-7992,0.991959798995,0.0,0.0,0.992957746479
20,ABC-10-CPLX,0.995979899497,0.0,0.0,0.996981891348
21,ABC-13-CPLX,0.997989949749,0.0,0.0,0.998993963783
22,ABC-14-CPLX,0.997989949749,0.0,0.0,0.998993963783
23,ABC-16-CPLX,0.996984924623,0.0,0.0,0.997987927565
24,ABC-24-CPLX,0.996984924623,0.0,0.0,0.997987927565
25,ABC-25-CPLX,0.996984924623,0.0,0.0,0.997987927565
26,ABC-27-CPLX,0.994974874372,0.0,0.0,0.995975855131
27,ABC-29-CPLX,0.996984924623,0.0,0.0,0.997987927565
28,ABC-3-CPLX,0.996984924623,0.0,0.0,0.997987927565
29,ABC-34-CPLX,0.997989949749,0.0,0.0,0.998993963783
32,ABC-40-CPLX,0.996984924623,0.0,0.0,0.997987927565
33,ABC-41-CPLX,0.997989949749,0.0,0.0,0.998993963783
34,ABC-46-CPLX,0.992964824121,0.0,0.0,0.993963782696
35,ABC-51-CPLX,0.997989949749,0.0,0.0,0.998993963783
36,ABC-52-CPLX,0.997989949749,0.0,0.0,0.998993963783
37,ABC-55-CPLX,0.997989949749,0.0,0.0,0.998993963783
39,ABC-7-CPLX,0.997989949749,0.0,0.0,0.998993963783
40,ABC-70-CPLX,0.996984924623,0.0,0.0,0.997987927565
41,ABC-9-CPLX,0.997989949749,0.0,0.0,0.998993963783
44,CPLX0-1721,0.996984924623,0.0,0.0,0.997987927565
46,CPLX0-1941,0.996984924623,0.0,0.0,0.997987927565
47,CPLX0-1942,0.997989949749,0.0,0.0,0.998993963783
49,CPLX0-3323,0.997989949749,0.0,0.0,0.998993963783
51,CPLX0-3970  ABC-22-CPLX,0.997989949749,0.0,0.0,0.998993963783
52,CPLX0-7935,0.995979899497,0.0,0.0,0.996981891348
53,CPLX0-7952,0.996984924623,0.0,0.0,0.997987927565
54,CPLX0-7958,0.995979899497,0.0,0.0,0.996981891348
55,CPLX0-8120,0.994974874372,0.0,0.0,0.995975855131
56,CPLX0-8160,0.996984924623,0.0,0.0,0.997987927565
57,FORMHYDROG2-CPLX,0.994974874372,0.0,0.0,0.995975855131
58,FUMARATE-REDUCTASE,0.996984924623,0.0,0.0,0.997987927565
60,TATABCE-CPLX,0.997989949749,0.0,0.0,0.998993963783
9,ABC-8-CPLX,0.997989949749,,0.0,1.0
12,ABC-22-CPLX,0.998994974874,,0.0,1.0
30,ABC-35-CPLX,0.998994974874,,0.0,1.0
38,ABC-58-CPLX,0.998994974874,,0.0,1.0
42,ATPASE-1-CPLX,0.998994974874,,0.0,1.0
43,CPLX0-1601,0.998994974874,,0.0,1.0
45,CPLX0-1762,0.998994974874,,0.0,1.0
48,CPLX0-1943,0.998994974874,,0.0,1.0
50,CPLX0-3401,0.998994974874,,0.0,1.0
59,HCAMULTI-CPLX,0.998994974874,,0.0,1.0
