,Annotation,accuracy,precision,sensitivity,specificity
62,ECK120004225,0.995979899497,0.333333333333,0.333333333333,0.997983870968
67,ECK120002159,0.995979899497,0.333333333333,0.333333333333,0.997983870968
86,ECK120004440,0.995979899497,0.25,0.5,0.996978851964
38,ECK120000524,0.991959798995,0.2,0.2,0.99595959596
0,ECK120000160,0.828140703518,0.2,0.141666666667,0.922285714286
1,ECK120000319,0.901507537688,0.1,0.0606060606061,0.961248654467
31,ECK120000295,0.982914572864,0.0909090909091,0.125,0.989868287741
2,ECK120000433,0.922613065327,0.0740740740741,0.037037037037,0.973432518597
3,ECK120000434,0.922613065327,0.0740740740741,0.037037037037,0.973432518597
7,ECK120000352,0.943718592965,0.0689655172414,0.0645161290323,0.971991701245
8,ECK120000636,0.956783919598,0.0625,0.0344827586207,0.984472049689
5,ECK120000057,0.947738693467,0.0625,0.0263157894737,0.984326018809
16,ECK120000812,0.966834170854,0.0526315789474,0.0625,0.981613891726
4,ECK120000450,0.942713567839,0.05,0.025641025641,0.980125523013
11,ECK120000332,0.955778894472,0.037037037037,0.0526315789474,0.973360655738
9,ECK120000313,0.952763819095,0.0333333333333,0.0526315789474,0.970286885246
10,ECK120000314,0.952763819095,0.0333333333333,0.0526315789474,0.970286885246
6,ECK120000311,0.947738693467,0.0,0.0,0.981269510926
12,ECK120001192,0.96783919598,0.0,0.0,0.986680327869
13,ECK120000540,0.966834170854,0.0,0.0,0.9836400818
14,ECK120001498,0.975879396985,0.0,0.0,0.992842535787
15,ECK120000017,0.975879396985,0.0,0.0,0.991828396323
17,ECK120000719,0.974874371859,0.0,0.0,0.989795918367
18,ECK120000526,0.966834170854,0.0,0.0,0.980632008155
19,ECK120000722,0.970854271357,0.0,0.0,0.983706720978
20,ECK120000811,0.972864321608,0.0,0.0,0.984740590031
21,ECK120001481,0.974874371859,0.0,0.0,0.986775178026
22,ECK120002995,0.976884422111,0.0,0.0,0.987804878049
23,ECK120001076,0.972864321608,0.0,0.0,0.982741116751
24,ECK120000629,0.96783919598,0.0,0.0,0.976673427992
25,ECK120000947,0.982914572864,0.0,0.0,0.991886409736
26,ECK120001398,0.980904522613,0.0,0.0,0.98985801217
27,ECK120000066,0.977889447236,0.0,0.0,0.985815602837
28,ECK120003898,0.980904522613,0.0,0.0,0.988855116515
29,ECK120000179,0.977889447236,0.0,0.0,0.985815602837
30,ECK120000674,0.982914572864,0.0,0.0,0.990881458967
32,ECK120000791,0.985929648241,0.0,0.0,0.993920972644
33,ECK120003142,0.979899497487,0.0,0.0,0.986842105263
34,ECK120001334,0.982914572864,0.0,0.0,0.988877654196
35,ECK120002126,0.976884422111,0.0,0.0,0.982810920121
36,ECK120000665,0.985929648241,0.0,0.0,0.990909090909
37,ECK120003658,0.984924623116,0.0,0.0,0.989898989899
39,ECK120001325,0.988944723618,0.0,0.0,0.993939393939
40,ECK120003378,0.980904522613,0.0,0.0,0.985858585859
41,ECK120001072,0.990954773869,0.0,0.0,0.99595959596
42,ECK120001557,0.984924623116,0.0,0.0,0.988900100908
43,ECK120002180,0.985929648241,0.0,0.0,0.989909182644
44,ECK120000275,0.993969849246,0.0,0.0,0.997981836529
45,ECK120004441,0.991959798995,0.0,0.0,0.995963673058
46,ECK120000581,0.991959798995,0.0,0.0,0.995963673058
47,ECK120003314,0.990954773869,0.0,0.0,0.994954591322
48,ECK120000194,0.989949748744,0.0,0.0,0.992943548387
49,ECK120001563,0.992964824121,0.0,0.0,0.995967741935
50,ECK120004419,0.990954773869,0.0,0.0,0.993951612903
51,ECK120001031,0.988944723618,0.0,0.0,0.991935483871
52,ECK120002125,0.992964824121,0.0,0.0,0.995967741935
53,ECK120002342,0.985929648241,0.0,0.0,0.988911290323
54,ECK120002927,0.992964824121,0.0,0.0,0.995967741935
55,ECK120003643,0.992964824121,0.0,0.0,0.995967741935
56,ECK120003880,0.994974874372,0.0,0.0,0.997983870968
57,ECK120000050,0.994974874372,0.0,0.0,0.997983870968
58,ECK120001018,0.991959798995,0.0,0.0,0.994959677419
59,ECK120002020,0.994974874372,0.0,0.0,0.997983870968
60,ECK120002953,0.991959798995,0.0,0.0,0.994959677419
61,ECK120004180,0.993969849246,0.0,0.0,0.996975806452
63,ECK120000046,0.980904522613,0.0,0.0,0.983870967742
64,ECK120000357,0.990954773869,0.0,0.0,0.993951612903
65,ECK120000358,0.990954773869,0.0,0.0,0.993951612903
66,ECK120000555,0.990954773869,0.0,0.0,0.993951612903
68,ECK120002708,0.994974874372,0.0,0.0,0.997983870968
69,ECK120003441,0.993969849246,0.0,0.0,0.996975806452
70,ECK120003453,0.994974874372,0.0,0.0,0.997983870968
71,ECK120000393,0.992964824121,0.0,0.0,0.994964753273
72,ECK120000459,0.991959798995,0.0,0.0,0.993957703927
73,ECK120000460,0.991959798995,0.0,0.0,0.993957703927
74,ECK120000483,0.990954773869,0.0,0.0,0.992950654582
75,ECK120000810,0.992964824121,0.0,0.0,0.994964753273
76,ECK120002210,0.992964824121,0.0,0.0,0.994964753273
77,ECK120002334,0.992964824121,0.0,0.0,0.994964753273
78,ECK120002377,0.992964824121,0.0,0.0,0.994964753273
79,ECK120002447,0.994974874372,0.0,0.0,0.996978851964
