,Annotation,accuracy,precision,sensitivity,specificity
119,ECK120009550,1.0,1.0,1.0,1.0
19,ECK120009462,0.998994974874,1.0,0.5,1.0
79,ECK120026707,0.998994974874,1.0,0.5,1.0
90,ECK120049214,0.998994974874,1.0,0.5,1.0
96,ECK120009001,0.998994974874,0.5,1.0,0.998993963783
153,ECK125135665,0.998994974874,0.5,1.0,0.998993963783
155,ECK125160780,0.998994974874,0.5,1.0,0.998993963783
46,ECK120016931,0.997989949749,0.5,0.5,0.998992950655
10,ECK120027189,0.996984924623,0.5,0.333333333333,0.998991935484
3,ECK120033235,0.995979899497,0.5,0.25,0.998990918264
4,ECK120033236,0.995979899497,0.5,0.25,0.998990918264
31,ECK120016930,0.996984924623,0.333333333333,0.5,0.997985901309
0,ECK120009189,0.993969849246,0.25,0.25,0.996972754793
1,ECK120033221,0.989949748744,0.125,0.25,0.992936427851
2,ECK120009392,0.991959798995,0.0,0.0,0.995963673058
5,ECK120009493,0.992964824121,0.0,0.0,0.996972754793
6,ECK120009754,0.992964824121,0.0,0.0,0.996972754793
14,ECK120009778,0.994974874372,0.0,0.0,0.997983870968
16,ECK120026915,0.995979899497,0.0,0.0,0.998991935484
17,ECK120009344,0.996984924623,0.0,0.0,0.998992950655
26,ECK120016562,0.993969849246,0.0,0.0,0.995971802618
27,ECK120026856,0.992964824121,0.0,0.0,0.994964753273
30,ECK120009478,0.992964824121,0.0,0.0,0.994964753273
33,ECK120008950,0.996984924623,0.0,0.0,0.998992950655
34,ECK120009149,0.996984924623,0.0,0.0,0.998992950655
35,ECK120009150,0.996984924623,0.0,0.0,0.998992950655
38,ECK120009465,0.996984924623,0.0,0.0,0.998992950655
39,ECK120009705,0.995979899497,0.0,0.0,0.997985901309
40,ECK120009721,0.996984924623,0.0,0.0,0.998992950655
41,ECK120009836,0.996984924623,0.0,0.0,0.998992950655
42,ECK120009837,0.996984924623,0.0,0.0,0.998992950655
45,ECK120015341,0.992964824121,0.0,0.0,0.994964753273
47,ECK120020537,0.996984924623,0.0,0.0,0.998992950655
48,ECK120026574,0.996984924623,0.0,0.0,0.998992950655
49,ECK120027084,0.994974874372,0.0,0.0,0.996978851964
50,ECK120027258,0.996984924623,0.0,0.0,0.998992950655
51,ECK120027283,0.996984924623,0.0,0.0,0.998992950655
52,ECK120027409,0.994974874372,0.0,0.0,0.996978851964
53,ECK120027864,0.996984924623,0.0,0.0,0.998992950655
54,ECK125109038,0.996984924623,0.0,0.0,0.998992950655
55,ECK125109039,0.996984924623,0.0,0.0,0.998992950655
56,ECK120008962,0.996984924623,0.0,0.0,0.998992950655
57,ECK120008972,0.996984924623,0.0,0.0,0.998992950655
58,ECK120008980,0.996984924623,0.0,0.0,0.998992950655
60,ECK120009002,0.996984924623,0.0,0.0,0.998992950655
62,ECK120009143,0.995979899497,0.0,0.0,0.997985901309
63,ECK120009156,0.996984924623,0.0,0.0,0.998992950655
67,ECK120009438,0.996984924623,0.0,0.0,0.998992950655
69,ECK120009464,0.996984924623,0.0,0.0,0.998992950655
70,ECK120009477,0.996984924623,0.0,0.0,0.998992950655
71,ECK120009486,0.994974874372,0.0,0.0,0.996978851964
74,ECK120010892,0.995979899497,0.0,0.0,0.997985901309
75,ECK120010955,0.996984924623,0.0,0.0,0.998992950655
76,ECK120015342,0.995979899497,0.0,0.0,0.997985901309
77,ECK120016221,0.996984924623,0.0,0.0,0.998992950655
78,ECK120016722,0.996984924623,0.0,0.0,0.998992950655
82,ECK120026929,0.996984924623,0.0,0.0,0.998992950655
83,ECK120027090,0.995979899497,0.0,0.0,0.997985901309
84,ECK120027324,0.995979899497,0.0,0.0,0.997985901309
89,ECK120034535,0.996984924623,0.0,0.0,0.998992950655
94,ECK120008953,0.996984924623,0.0,0.0,0.997987927565
97,ECK120009012,0.997989949749,0.0,0.0,0.998993963783
105,ECK120009260,0.995979899497,0.0,0.0,0.996981891348
106,ECK120009294,0.995979899497,0.0,0.0,0.996981891348
108,ECK120009336,0.996984924623,0.0,0.0,0.997987927565
111,ECK120009357,0.996984924623,0.0,0.0,0.997987927565
115,ECK120009398,0.996984924623,0.0,0.0,0.997987927565
116,ECK120009412,0.997989949749,0.0,0.0,0.998993963783
118,ECK120009519,0.996984924623,0.0,0.0,0.997987927565
123,ECK120009838,0.997989949749,0.0,0.0,0.998993963783
125,ECK120015484,0.997989949749,0.0,0.0,0.998993963783
127,ECK120016223,0.997989949749,0.0,0.0,0.998993963783
128,ECK120016928,0.997989949749,0.0,0.0,0.998993963783
129,ECK120016929,0.997989949749,0.0,0.0,0.998993963783
130,ECK120026685,0.993969849246,0.0,0.0,0.994969818913
131,ECK120026756,0.997989949749,0.0,0.0,0.998993963783
132,ECK120026910,0.996984924623,0.0,0.0,0.997987927565
134,ECK120026934,0.997989949749,0.0,0.0,0.998993963783
137,ECK120027292,0.996984924623,0.0,0.0,0.997987927565
141,ECK120027489,0.997989949749,0.0,0.0,0.998993963783
145,ECK120029427,0.996984924623,0.0,0.0,0.997987927565
146,ECK120030132,0.997989949749,0.0,0.0,0.998993963783
150,ECK120033758,0.997989949749,0.0,0.0,0.998993963783
152,ECK120051390,0.996984924623,0.0,0.0,0.997987927565
154,ECK125158026,0.995979899497,0.0,0.0,0.996981891348
156,ECK120008913,0.997989949749,0.0,0.0,0.998993963783
157,ECK120008914,0.997989949749,0.0,0.0,0.998993963783
158,ECK120008915,0.997989949749,0.0,0.0,0.998993963783
159,ECK120008916,0.997989949749,0.0,0.0,0.998993963783
160,ECK120008922,0.997989949749,0.0,0.0,0.998993963783
165,ECK120008998,0.997989949749,0.0,0.0,0.998993963783
170,ECK120009042,0.997989949749,0.0,0.0,0.998993963783
171,ECK120009076,0.997989949749,0.0,0.0,0.998993963783
175,ECK120009116,0.997989949749,0.0,0.0,0.998993963783
177,ECK120009210,0.997989949749,0.0,0.0,0.998993963783
178,ECK120009211,0.997989949749,0.0,0.0,0.998993963783
183,ECK120009228,0.997989949749,0.0,0.0,0.998993963783
185,ECK120009237,0.997989949749,0.0,0.0,0.998993963783
186,ECK120009239,0.997989949749,0.0,0.0,0.998993963783
188,ECK120009306,0.997989949749,0.0,0.0,0.998993963783
190,ECK120009370,0.997989949749,0.0,0.0,0.998993963783
192,ECK120009430,0.997989949749,0.0,0.0,0.998993963783
195,ECK120009460,0.997989949749,0.0,0.0,0.998993963783
196,ECK120009488,0.997989949749,0.0,0.0,0.998993963783
197,ECK120009491,0.997989949749,0.0,0.0,0.998993963783
198,ECK120009494,0.996984924623,0.0,0.0,0.997987927565
199,ECK120009509,0.997989949749,0.0,0.0,0.998993963783
200,ECK120009510,0.997989949749,0.0,0.0,0.998993963783
206,ECK120009716,0.997989949749,0.0,0.0,0.998993963783
208,ECK120009739,0.997989949749,0.0,0.0,0.998993963783
209,ECK120009770,0.997989949749,0.0,0.0,0.998993963783
212,ECK120009839,0.996984924623,0.0,0.0,0.997987927565
213,ECK120009840,0.996984924623,0.0,0.0,0.997987927565
214,ECK120010936,0.997989949749,0.0,0.0,0.998993963783
217,ECK120011098,0.997989949749,0.0,0.0,0.998993963783
219,ECK120016561,0.997989949749,0.0,0.0,0.998993963783
220,ECK120016723,0.997989949749,0.0,0.0,0.998993963783
224,ECK120026568,0.994974874372,0.0,0.0,0.995975855131
227,ECK120026606,0.997989949749,0.0,0.0,0.998993963783
228,ECK120026634,0.997989949749,0.0,0.0,0.998993963783
229,ECK120026670,0.997989949749,0.0,0.0,0.998993963783
231,ECK120026785,0.997989949749,0.0,0.0,0.998993963783
233,ECK120026840,0.997989949749,0.0,0.0,0.998993963783
237,ECK120027213,0.997989949749,0.0,0.0,0.998993963783
238,ECK120027242,0.995979899497,0.0,0.0,0.996981891348
244,ECK120027568,0.997989949749,0.0,0.0,0.998993963783
245,ECK120027593,0.997989949749,0.0,0.0,0.998993963783
247,ECK120027692,0.997989949749,0.0,0.0,0.998993963783
253,ECK120030130,0.997989949749,0.0,0.0,0.998993963783
254,ECK120030202,0.997989949749,0.0,0.0,0.998993963783
256,ECK120033026,0.997989949749,0.0,0.0,0.998993963783
257,ECK120033243,0.997989949749,0.0,0.0,0.998993963783
262,ECK120033600,0.997989949749,0.0,0.0,0.998993963783
269,ECK120034170,0.997989949749,0.0,0.0,0.998993963783
270,ECK120034536,0.997989949749,0.0,0.0,0.998993963783
271,ECK120034537,0.997989949749,0.0,0.0,0.998993963783
272,ECK120034538,0.997989949749,0.0,0.0,0.998993963783
274,ECK120051389,0.997989949749,0.0,0.0,0.998993963783
278,ECK125141553,0.997989949749,0.0,0.0,0.998993963783
279,ECK125199575,0.997989949749,0.0,0.0,0.998993963783
7,ECK120009498,0.996984924623,,0.0,1.0
8,ECK120009632,0.996984924623,,0.0,1.0
9,ECK120009812,0.996984924623,,0.0,1.0
11,ECK120027591,0.996984924623,,0.0,1.0
12,ECK120030196,0.996984924623,,0.0,1.0
13,ECK120030197,0.996984924623,,0.0,1.0
15,ECK120027715,0.996984924623,,0.0,1.0
18,ECK120009426,0.997989949749,,0.0,1.0
20,ECK120009474,0.997989949749,,0.0,1.0
21,ECK120009799,0.997989949749,,0.0,1.0
22,ECK120009829,0.997989949749,,0.0,1.0
23,ECK120009830,0.997989949749,,0.0,1.0
24,ECK120015150,0.997989949749,,0.0,1.0
25,ECK120015151,0.997989949749,,0.0,1.0
28,ECK120033240,0.997989949749,,0.0,1.0
29,ECK120009433,0.997989949749,,0.0,1.0
32,ECK120051393,0.997989949749,,0.0,1.0
36,ECK120009325,0.997989949749,,0.0,1.0
37,ECK120009390,0.997989949749,,0.0,1.0
43,ECK120010972,0.997989949749,,0.0,1.0
44,ECK120015331,0.997989949749,,0.0,1.0
59,ECK120008999,0.997989949749,,0.0,1.0
61,ECK120009070,0.997989949749,,0.0,1.0
64,ECK120009317,0.997989949749,,0.0,1.0
65,ECK120009397,0.997989949749,,0.0,1.0
66,ECK120009437,0.997989949749,,0.0,1.0
68,ECK120009452,0.997989949749,,0.0,1.0
72,ECK120009496,0.997989949749,,0.0,1.0
73,ECK120009553,0.997989949749,,0.0,1.0
80,ECK120026801,0.997989949749,,0.0,1.0
81,ECK120026841,0.997989949749,,0.0,1.0
85,ECK120027484,0.997989949749,,0.0,1.0
86,ECK120027602,0.997989949749,,0.0,1.0
87,ECK120033765,0.997989949749,,0.0,1.0
88,ECK120033766,0.997989949749,,0.0,1.0
91,ECK125095425,0.997989949749,,0.0,1.0
92,ECK125140826,0.997989949749,,0.0,1.0
93,ECK125140827,0.997989949749,,0.0,1.0
