,Annotation,accuracy,precision,sensitivity,specificity
73,FUC-RHAMCAT-PWY,0.998994974874,1.0,0.5,1.0
125,P2-PWY,0.998994974874,1.0,0.5,1.0
33,ARGSYN-PWY,0.997989949749,1.0,0.333333333333,1.0
36,PWY-6071,0.996984924623,0.5,0.666666666667,0.997983870968
60,PWY0-321,0.995979899497,0.333333333333,0.333333333333,0.997983870968
18,PWY-6126,0.992964824121,0.2,0.25,0.995963673058
11,TCA-GLYOX-BYPASS,0.991959798995,0.2,0.2,0.99595959596
35,PEPTIDOGLYCANSYN-PWY,0.992964824121,0.166666666667,0.333333333333,0.994959677419
27,PWY0-1348,0.991959798995,0.166666666667,0.25,0.994954591322
7,ARG+POLYAMINE-SYN,0.982914572864,0.0769230769231,0.166666666667,0.98786653185
2,GLYCOLYSIS-TCA-GLYOX-BYPASS,0.963819095477,0.0357142857143,0.1,0.972588832487
0,ALL-CHORISMATE-PWY,0.955778894472,0.0,0.0,0.967446592065
1,PRPP-PWY,0.966834170854,0.0,0.0,0.978636826043
3,FERMENTATION-PWY,0.976884422111,0.0,0.0,0.984802431611
4,DENOVOPURINE2-PWY,0.982914572864,0.0,0.0,0.98987854251
5,HEXITOLDEGSUPER-PWY,0.978894472362,0.0,0.0,0.985829959514
6,LPSSYN-PWY,0.989949748744,0.0,0.0,0.996963562753
8,GLYCOLYSIS-E-D,0.986934673367,0.0,0.0,0.992922143579
9,THREOCAT-PWY,0.986934673367,0.0,0.0,0.992922143579
10,PWY0-781,0.992964824121,0.0,0.0,0.99797979798
12,COMPLETE-ARO-PWY,0.986934673367,0.0,0.0,0.991919191919
13,GLYCOLYSIS,0.993969849246,0.0,0.0,0.99898989899
14,KDO-NAGLIPASYN-PWY,0.989949748744,0.0,0.0,0.994949494949
15,PWY-5484,0.987939698492,0.0,0.0,0.992929292929
16,PWY0-1352,0.991959798995,0.0,0.0,0.99696969697
17,GLUCONEO-PWY,0.990954773869,0.0,0.0,0.994954591322
19,TCA,0.992964824121,0.0,0.0,0.996972754793
20,BRANCHED-CHAIN-AA-SYN-PWY,0.990954773869,0.0,0.0,0.994954591322
21,P4-PWY,0.994974874372,0.0,0.0,0.998990918264
22,PWY-7211,0.994974874372,0.0,0.0,0.998990918264
23,PWY0-1335,0.992964824121,0.0,0.0,0.996972754793
24,PWY0-1336,0.990954773869,0.0,0.0,0.994954591322
25,PWY0-1586,0.993969849246,0.0,0.0,0.997981836529
26,PWY0-1334,0.992964824121,0.0,0.0,0.996972754793
28,SULFATE-CYS-PWY,0.993969849246,0.0,0.0,0.997981836529
29,ORNARGDEG-PWY,0.989949748744,0.0,0.0,0.993945509586
31,METHGLYUT-PWY,0.988944723618,0.0,0.0,0.991935483871
34,BIOTIN-BIOSYNTHESIS-PWY,0.993969849246,0.0,0.0,0.996975806452
37,PWY0-1277,0.995979899497,0.0,0.0,0.998991935484
38,PWY0-1321,0.994974874372,0.0,0.0,0.997983870968
39,PWY0-166,0.995979899497,0.0,0.0,0.998991935484
40,SALVADEHYPOX-PWY,0.995979899497,0.0,0.0,0.998991935484
42,GLYCOL-GLYOXDEG-PWY,0.994974874372,0.0,0.0,0.997983870968
43,PWY-6387,0.994974874372,0.0,0.0,0.997983870968
44,PWY-6608,0.994974874372,0.0,0.0,0.997983870968
46,THISYN-PWY,0.994974874372,0.0,0.0,0.997983870968
47,1CMET2-PWY,0.994974874372,0.0,0.0,0.997983870968
48,ARO-PWY,0.994974874372,0.0,0.0,0.997983870968
49,COLANSYN-PWY,0.995979899497,0.0,0.0,0.998991935484
50,ECASYN-PWY,0.995979899497,0.0,0.0,0.998991935484
51,GLUTAMINDEG-PWY,0.995979899497,0.0,0.0,0.998991935484
52,MET-SAM-PWY,0.995979899497,0.0,0.0,0.998991935484
53,PENTOSE-P-PWY,0.995979899497,0.0,0.0,0.998991935484
54,PWY-5838,0.995979899497,0.0,0.0,0.998991935484
55,PWY-7219,0.991959798995,0.0,0.0,0.994959677419
56,PWY0-1261,0.995979899497,0.0,0.0,0.998991935484
57,PWY0-1577,0.994974874372,0.0,0.0,0.997983870968
58,PWY0-1585,0.994974874372,0.0,0.0,0.997983870968
59,PWY0-162,0.993969849246,0.0,0.0,0.996975806452
62,LIPA-CORESYN-PWY,0.996984924623,0.0,0.0,0.998992950655
63,OANTIGEN-PWY,0.996984924623,0.0,0.0,0.998992950655
64,PHOSLIPSYN-PWY,0.996984924623,0.0,0.0,0.998992950655
66,PWY-6125,0.995979899497,0.0,0.0,0.997985901309
68,PWY-7196,0.996984924623,0.0,0.0,0.998992950655
71,PWY0-1581,0.996984924623,0.0,0.0,0.998992950655
72,ENTBACSYN-PWY,0.995979899497,0.0,0.0,0.997985901309
75,GALACTITOLCAT-PWY,0.996984924623,0.0,0.0,0.998992950655
76,HCAMHPDEG-PWY,0.995979899497,0.0,0.0,0.997985901309
78,NONMEVIPP-PWY,0.996984924623,0.0,0.0,0.998992950655
79,PWY-5686,0.996984924623,0.0,0.0,0.998992950655
80,PWY-6519,0.995979899497,0.0,0.0,0.997985901309
81,PWY-6612,0.996984924623,0.0,0.0,0.998992950655
82,PWY-6690,0.995979899497,0.0,0.0,0.997985901309
83,PWY-6892,0.995979899497,0.0,0.0,0.997985901309
84,PWY0-1061,0.995979899497,0.0,0.0,0.997985901309
85,PWY0-1329,0.995979899497,0.0,0.0,0.997985901309
86,PWY0-1355,0.994974874372,0.0,0.0,0.996978851964
87,PWY0-1479,0.994974874372,0.0,0.0,0.996978851964
88,PWY0-1576,0.995979899497,0.0,0.0,0.997985901309
89,PWY0-163,0.995979899497,0.0,0.0,0.997985901309
90,PWY0-845,0.995979899497,0.0,0.0,0.997985901309
91,PWY0-881,0.994974874372,0.0,0.0,0.996978851964
92,SO4ASSIM-PWY,0.996984924623,0.0,0.0,0.998992950655
93,VALSYN-PWY,0.992964824121,0.0,0.0,0.994964753273
94,ASPASN-PWY,0.994974874372,0.0,0.0,0.996978851964
95,FAO-PWY,0.993969849246,0.0,0.0,0.995971802618
97,GLYCOCAT-PWY,0.996984924623,0.0,0.0,0.998992950655
99,ILEUSYN-PWY,0.996984924623,0.0,0.0,0.998992950655
101,LEUSYN-PWY,0.996984924623,0.0,0.0,0.998992950655
102,METSYN-PWY,0.996984924623,0.0,0.0,0.998992950655
103,NONOXIPENT-PWY,0.996984924623,0.0,0.0,0.998992950655
105,PWY-5837,0.996984924623,0.0,0.0,0.998992950655
106,PWY-5973,0.995979899497,0.0,0.0,0.997985901309
107,PWY-6284,0.995979899497,0.0,0.0,0.997985901309
108,PWY-7184,0.996984924623,0.0,0.0,0.998992950655
109,PWY-7187,0.996984924623,0.0,0.0,0.998992950655
112,PWY0-1298,0.996984924623,0.0,0.0,0.998992950655
113,PWY0-1353,0.995979899497,0.0,0.0,0.997985901309
116,PWY0-381,0.996984924623,0.0,0.0,0.998992950655
117,DETOX1-PWY,0.994974874372,0.0,0.0,0.996978851964
118,FASYN-ELONG-PWY,0.994974874372,0.0,0.0,0.996978851964
120,GLUCUROCAT-PWY,0.996984924623,0.0,0.0,0.998992950655
123,HOMOSER-METSYN-PWY,0.996984924623,0.0,0.0,0.998992950655
126,POLYISOPRENSYN-PWY,0.995979899497,0.0,0.0,0.997985901309
128,PWY-5453,0.996984924623,0.0,0.0,0.998992950655
129,PWY-6163,0.996984924623,0.0,0.0,0.998992950655
130,PWY-6277,0.995979899497,0.0,0.0,0.997985901309
131,PWY-6282,0.995979899497,0.0,0.0,0.997985901309
133,PWY-6609,0.996984924623,0.0,0.0,0.998992950655
134,PWY-6952,0.996984924623,0.0,0.0,0.998992950655
139,PYRIDOXSYN-PWY,0.996984924623,0.0,0.0,0.998992950655
140,RIBOSYN2-PWY,0.996984924623,0.0,0.0,0.998992950655
141,THRESYN-PWY,0.996984924623,0.0,0.0,0.998992950655
142,4AMINOBUTMETAB-PWY,0.993969849246,0.0,0.0,0.994969818913
143,ACETATEUTIL-PWY,0.996984924623,0.0,0.0,0.997987927565
147,FASYN-INITIAL-PWY,0.997989949749,0.0,0.0,0.998993963783
150,GALACTUROCAT-PWY,0.996984924623,0.0,0.0,0.997987927565
152,GLUCARDEG-PWY,0.997989949749,0.0,0.0,0.998993963783
153,GLUT-REDOX-PWY,0.997989949749,0.0,0.0,0.998993963783
154,LCYSDEG-PWY,0.997989949749,0.0,0.0,0.998993963783
155,PHESYN,0.997989949749,0.0,0.0,0.998993963783
158,PWY-5386,0.997989949749,0.0,0.0,0.998993963783
159,PWY-5668,0.997989949749,0.0,0.0,0.998993963783
160,PWY-5971,0.995979899497,0.0,0.0,0.996981891348
163,PWY-6122,0.997989949749,0.0,0.0,0.998993963783
164,PWY-6123,0.995979899497,0.0,0.0,0.996981891348
167,PWY-6961,0.997989949749,0.0,0.0,0.998993963783
168,PWY-7544,0.995979899497,0.0,0.0,0.996981891348
170,PWY0-1471,0.997989949749,0.0,0.0,0.998993963783
